Epoch,loss,accuracy,val_loss,val_accuracy
0,3.23309588432312,0.3410256505012512,2.0935006141662598,0.4480234384536743
1,1.9158575534820557,0.523809552192688,1.164790391921997,0.6383602023124695
2,1.4120420217514038,0.6093406677246094,0.8441101312637329,0.751098096370697
3,1.1385369300842285,0.6714285612106323,0.6628837585449219,0.7891654372215271
4,0.9546332359313965,0.7126373648643494,0.5609947443008423,0.8169838786125183
5,0.7596312165260315,0.7609890103340149,0.4825330078601837,0.8462664484977722
6,0.6640173196792603,0.7877289652824402,0.43100976943969727,0.8770132064819336
7,0.5954118371009827,0.803113579750061,0.38939255475997925,0.8945827484130859
8,0.5321075320243835,0.8172160983085632,0.34515470266342163,0.9062957763671875
9,0.4728355407714844,0.8384615182876587,0.3264528214931488,0.913616418838501
10,0.4086998701095581,0.8578754663467407,0.304377019405365,0.9180088043212891
11,0.3886750638484955,0.8646520376205444,0.2827632427215576,0.9194729328155518
12,0.36460933089256287,0.8747252821922302,0.26827508211135864,0.932650089263916
13,0.297687828540802,0.8906593322753906,0.2553837299346924,0.9370424747467041
14,0.27159181237220764,0.9067765474319458,0.241794615983963,0.9428989887237549
15,0.25604674220085144,0.9089743494987488,0.23456420004367828,0.9487555027008057
16,0.239845871925354,0.9155677556991577,0.2261810302734375,0.951683759689331
17,0.20133459568023682,0.9289377331733704,0.21402385830879211,0.951683759689331
18,0.20542705059051514,0.9269230961799622,0.20972199738025665,0.947291374206543
19,0.18038234114646912,0.9399267435073853,0.202226921916008,0.9502196311950684
20,0.14586187899112701,0.9476190209388733,0.19895893335342407,0.9531478881835938
21,0.1577773541212082,0.9428571462631226,0.198983296751976,0.9575402736663818
22,0.1436040699481964,0.9505494236946106,0.19406257569789886,0.9531478881835938
23,0.12408830970525742,0.9569597244262695,0.19268131256103516,0.9560761451721191
24,0.12816493213176727,0.9562271237373352,0.1900090128183365,0.9575402736663818
25,0.10022372752428055,0.9659340381622314,0.18995380401611328,0.9575402736663818
26,0.10022459179162979,0.9631868004798889,0.1882539540529251,0.9531478881835938
27,0.08950495719909668,0.9710622429847717,0.1847224235534668,0.9546120166778564
28,0.08964244276285172,0.9694139361381531,0.18079480528831482,0.9575402736663818
29,0.0823698341846466,0.9727106094360352,0.18182870745658875,0.9546120166778564
30,0.06944773346185684,0.978205144405365,0.17013438045978546,0.9531478881835938
31,0.0636269673705101,0.9791208505630493,0.1749090999364853,0.9546120166778564
32,0.06994698196649551,0.9758241772651672,0.1772865653038025,0.9575402736663818
33,0.07029753178358078,0.978205144405365,0.17072419822216034,0.9590044021606445
34,0.04699082672595978,0.9851648211479187,0.17464253306388855,0.9619326591491699
35,0.05855262279510498,0.9800366163253784,0.17041777074337006,0.9590044021606445
36,0.04385816305875778,0.9873626232147217,0.16664843261241913,0.9590044021606445
37,0.04552529752254486,0.9842490553855896,0.16791297495365143,0.9619326591491699
38,0.044341545552015305,0.9862637519836426,0.16383476555347443,0.9633967876434326
39,0.044634606689214706,0.985897421836853,0.16043207049369812,0.9619326591491699
40,0.04058098420500755,0.9873626232147217,0.16121046245098114,0.9604685306549072
41,0.029370969161391258,0.9912087917327881,0.1638779193162918,0.9633967876434326
42,0.029029516503214836,0.9921245574951172,0.1702152043581009,0.9633967876434326
43,0.03886783495545387,0.988095223903656,0.16708393394947052,0.9633967876434326
44,0.027946149930357933,0.9932234287261963,0.16677968204021454,0.9648609161376953
45,0.030413594096899033,0.9893772602081299,0.1679769605398178,0.9648609161376953
46,0.025647025555372238,0.9932234287261963,0.1687968373298645,0.966325044631958
47,0.02449357509613037,0.9928571581840515,0.16481678187847137,0.966325044631958
48,0.027554597705602646,0.9915750622749329,0.16656753420829773,0.966325044631958
49,0.021779116243124008,0.9937728643417358,0.16780859231948853,0.9633967876434326
50,0.022444795817136765,0.992490828037262,0.17272235453128815,0.9648609161376953
51,0.020640404894948006,0.9935897588729858,0.17480488121509552,0.9633967876434326
52,0.0184182096272707,0.9963369965553284,0.16982077062129974,0.9619326591491699
53,0.021912766620516777,0.9928571581840515,0.16346001625061035,0.9633967876434326
54,0.021674536168575287,0.9937728643417358,0.163371741771698,0.966325044631958
55,0.01635923609137535,0.9957875609397888,0.16170844435691833,0.9692533016204834
56,0.022210875526070595,0.9941391944885254,0.1615452617406845,0.966325044631958
57,0.013274317607283592,0.9970695972442627,0.1631205528974533,0.9677891731262207
58,0.013559441082179546,0.9959706664085388,0.1622016578912735,0.9648609161376953
59,0.01783004030585289,0.9954212307929993,0.16146467626094818,0.966325044631958
60,0.01717185229063034,0.9952380657196045,0.15244583785533905,0.9677891731262207
61,0.01278697606176138,0.9961538314819336,0.15418340265750885,0.9692533016204834
62,0.00912975799292326,0.9981684684753418,0.1533726304769516,0.9677891731262207
63,0.012704000808298588,0.9967032670974731,0.15417589247226715,0.966325044631958
64,0.010553024709224701,0.9976190328598022,0.15690918266773224,0.966325044631958
65,0.00923018716275692,0.997802197933197,0.15675635635852814,0.9677891731262207
66,0.011374466121196747,0.9970695972442627,0.1542830914258957,0.9692533016204834
67,0.010584801435470581,0.9972527623176575,0.15133124589920044,0.9751098155975342
68,0.008812068030238152,0.9983516335487366,0.1552281677722931,0.9707174301147461
69,0.010048037394881248,0.9974358677864075,0.1514703631401062,0.9707174301147461
70,0.009049181826412678,0.9979853630065918,0.14862138032913208,0.9677891731262207
71,0.009154927916824818,0.9981684684753418,0.15369068086147308,0.9736456871032715
72,0.009158135391771793,0.9981684684753418,0.14855007827281952,0.9692533016204834
73,0.010704121552407742,0.9965201616287231,0.14490821957588196,0.9751098155975342
74,0.007078052498400211,0.9985347986221313,0.14810308814048767,0.9707174301147461
75,0.009558675810694695,0.9972527623176575,0.15016989409923553,0.9707174301147461
76,0.008916136808693409,0.9976190328598022,0.14924021065235138,0.9751098155975342
77,0.00630590133368969,0.9992673993110657,0.14561395347118378,0.9721815586090088
78,0.006788279861211777,0.997802197933197,0.14184248447418213,0.9721815586090088
79,0.008644882589578629,0.997802197933197,0.1501789391040802,0.9736456871032715
80,0.007034191861748695,0.997802197933197,0.1472364217042923,0.9736456871032715
81,0.007235654164105654,0.9985347986221313,0.14049452543258667,0.9736456871032715
82,0.006452447269111872,0.9983516335487366,0.1430366039276123,0.9751098155975342
